ID_district,ID_subd,x,y
60,222,2351.8837063803803,294.44678043946624
68,327,2628.6955859272275,337.5781957991421
50,76,2135.7727221495006,388.187153916806
61,101,2458.150453935843,65.66788041964173
20,209,2119.256331258919,154.26820516586304
20,270,2141.4681886795443,116.67572744190693
2,171,2684.356177384034,31.853188667446375
12,344,2423.2361708956305,205.56230945512652
6,217,2520.2475401256233,66.33865796029568
36,65,2424.3486149136443,318.8581023365259
53,341,2422.3464050434995,281.3940268009901
39,279,2444.4638906351756,384.2568411491811
51,92,2766.4479599269107,95.24485059082508
1,12,2561.850840470055,102.51460429280996
47,69,2782.5388670372777,361.04673547670245
65,137,2739.5084443876985,387.81340876594186
46,208,2208.1830115404446,31.75440737977624
40,157,2309.952827040106,115.52021251991391
50,76,2131.005584189901,369.3550780415535
8,8,2319.6361249100883,162.35799929127097
19,225,2277.781574574765,34.378853254020214
64,147,2389.633520468138,83.16062102094293
30,252,2298.054797251476,351.5296676196158
66,282,2630.7378135847393,295.2093245461583
4,196,2221.882959604729,24.334434419870377
25,28,2665.206243330147,128.22709400206804
30,37,2281.9538487447426,358.08345517143607
18,347,2566.7213896613102,57.756372820585966
16,187,2376.0859399808105,388.002160936594
52,311,2468.33519073925,240.6622914597392
41,324,2558.392017572187,218.1882289238274
17,224,2455.36576010962,30.092430859804153
10,211,2205.7514243137557,227.43605067953467
27,34,2177.2863285716157,144.08525805920362
49,226,2747.3756003512535,365.5621523037553
30,252,2304.718685813248,355.4370725527406
20,319,2117.6143865149934,78.18713476881385
37,125,2476.912235976197,287.2243897989392
56,205,2663.389809215907,224.5896221138537
47,69,2774.74318355578,363.9080465771258
40,256,2318.008180486271,104.85974187031388
57,158,2644.1736822668463,14.393713977187872
55,246,2699.843363790773,165.5180430971086
22,25,2395.2246134653687,378.89958256855607
23,88,2547.9547251204494,183.0502043478191
40,256,2314.6963276304305,112.16839896515012
58,145,2242.4559986307286,302.0945901982486
63,180,2734.560467064148,228.7939771078527
8,36,2334.1751587616745,194.98685523867607
6,217,2517.3267387722153,69.20866398140788
57,158,2633.276169286575,32.49411629512906
49,226,2748.9347016792744,341.28802912309766
3,3,2324.816804531263,68.38571839034557
58,97,2252.6633235337213,346.84827476739883
40,55,2294.029984761961,112.23552227020264
66,198,2622.2722565196455,312.5011431053281
27,105,2101.0263054789975,209.1652998700738
26,278,2596.5115999134723,387.30789087712765
3,3,2356.243060511537,64.21831231564283
42,303,2106.826218311442,244.36675375327468
27,105,2109.279586718185,168.59738267958164
12,338,2415.838241463527,225.4822359420359
5,5,2588.4722753001843,248.21005668491125
33,59,2149.4477676863316,317.0710305683315
1,202,2536.331744527677,96.39959093183279
38,119,2602.193080967758,264.5486586727202
51,350,2777.682090337621,50.78384540975094
7,220,2259.2919854836073,243.4782773256302
18,20,2556.7655846904963,77.7433505281806
54,84,2756.125749432016,188.53268194943666
33,61,2183.570363595849,299.0693519823253
59,166,2541.428247807082,374.53210428357124
65,137,2743.6855428102426,397.91685016825795
30,37,2265.599902486196,341.0683009773493
24,27,2598.2441532821395,324.00809098035097
10,10,2190.249260925455,213.00381300970912
64,307,2424.0285079507157,88.93158053979278
49,75,2782.076445349725,338.0251403898001
2,179,2716.4905032366514,82.9327892512083
35,95,2154.0076762537938,142.77364360168576
6,217,2523.6940104262903,60.548926051706076
24,27,2575.7254563595634,343.9276283606887
